city,lat,lon
Swabi,34.09405621,72.50565393
Taftan,29.13842964,61.77968354
Takht Bhai,34.34529238,71.91047682
Takht-E-Nasrati,32.95958548,71.05248929
Tala Gang,32.84887131,72.22528811
Talhar,24.87705939,68.89372039
Tall,33.38568306,70.67247883
Tamboo,28.49312816,67.90320253
Tandlian Wala,30.91279007,73.06322946
Tando Adam,25.82690454,68.6308353
Tando Allahyar,25.44779541,68.71193031
Tando Bago,24.77126648,69.11948766
Tando Ghulam Hyder,24.95615475,68.63871114
Tando Muhammad Khan,25.12563575,68.56169556
Tangi,34.34695664,71.70529108
Tangir,35.74509055,73.31614423
Tangwani,28.26260498,68.98312093
Tank,32.25652055,70.40881225
Tarar Khal,33.74057173,73.77894182
Taunsa,30.90133194,70.61230169
Taxila,33.73144391,72.82377937
Thano Bula Khan,25.54101416,67.64001294
Thari Meer Wah,27.08866211,68.54504722
Thatta,25.00347218,67.9845318
Thorar,33.87977442,73.60688891
Thul,28.25776518,68.67771926
Tiarza,32.43242817,69.74629721
Timergara,34.75107002,71.86991628
Toba Tek Singh,30.94159403,72.55095922
Toi Khulla,32.04048538,69.46773493
Tomulk,28.62652904,65.18395433
Topi,34.15019864,72.69655761
Town-I,34.01342255,71.59385952
Town-Ii,34.09988882,71.54731219
Town-Iii,34.00304789,71.46889502
Town-Iv,33.87408341,71.60565881
Tump,26.24285388,62.40821539
Ubauro,28.21412945,69.68814619
Umer Kot,25.46359732,69.88366862
Upper Kurram,33.84989669,70.09168116
Upper Orakzai,33.69025861,70.70636619
Usta Mohammad,28.1379267,67.95675451
Uthal,25.85750025,66.65561499
Utman Khel,34.73902527,71.69955532
Vehari,30.0131552,72.36306277
Wadh,26.64820135,66.70045498
Wana,32.13042288,69.69068245
Warah,27.42654928,67.73660442
Wari,35.00193687,72.04272309
Washuk,27.6667136,64.37765593
Wazir,32.99656158,70.44168023
Wazirabad,32.34759901,73.99587685
Yaka Ghund,34.26083513,71.39265007
Yasin,36.50137812,73.30845797
Yazman,28.70746772,71.66145865
Zafarwal,32.3248663,74.95576601
Zehri,28.58276627,66.91963022
Zhob,31.21163787,69.34438754
Ziarat,30.43699186,67.48280744
