asset_id,edge_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,hazard_flood,hazard_cyclone,hazard_strike,hazard_accident,exposure_flood,exposure_cyclone,exposure_strike,exposure_accident,vulnerability_flood,vulnerability_cyclone,vulnerability_strike,vulnerability_accident,risk_flood,risk_cyclone,risk_strike,risk_accident,risk_natural,risk_human,composite_risk,edge_betweenness,importance_score,network_criticality_risk,risk_tier,timestamp,analysis_date
rail_16,rail_16,station_30,rail_int_23,rail,ML3,199.6863,80.0,2.496079,0.5203,0.0,0.0,0.0,0.7804499999999999,0.0,0.0,0.0,0.65,0.55,0.55,0.65,0.2639,0.0,0.0,0.0,0.2639,0.0,0.1583,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_48,access_48,station_30,rail_int_1,intermodal,station_rail,0.0063,30.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015912164850027846,0.0005,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_1,road_1,road_1,road_2,road,Primary,0.8392,80.0,0.01049,0.006,0.0,0.0,0.0,0.00662215488,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_12174,road_12174,road_1,road_265,road,Primary,1.1898,80.0,0.014873,0.0061,0.0,0.0,0.0,0.0067419342320000014,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_22645,road_22645,road_2,road_17082,road,Primary,0.3567,80.0,0.004459,0.006,0.0,0.0,0.0,0.006609416880000001,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_152,road_152,road_3,road_6,road,Trunk,0.068,100.0,0.00068,0.0101,0.0,0.0,0.0,0.012628434,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.01210199697668868,0.0392,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_64,road_64,road_3,road_94,road,Trunk,3.8575,100.0,0.038575,0.0099,0.0,0.0,0.0,0.012565946250000001,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0003494311401066115,0.0011,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_153,road_153,road_3,road_15,road,Trunk,0.2681,100.0,0.002681,0.0102,0.0,0.0,0.0,0.012763673100000001,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.000744530193332803,0.0024,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_173,road_173,road_3,road_267,road,Trunk,3.7173,100.0,0.037173,0.0099,0.0,0.0,0.0,0.012559006349999999,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,5.537433367809691e-05,0.0002,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_174,road_174,road_3,road_268,road,Trunk,2.8369,100.0,0.028369,0.0102,0.0,0.0,0.0,0.0128946819,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0002372503779139152,0.0008,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_177,road_177,road_3,road_19,road,Trunk,4.8066,100.0,0.048066,0.0104,0.0,0.0,0.0,0.0132499432,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.011187047497812078,0.0362,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_3,road_3,road_4,road_5,road,Trunk,1.5956,100.0,0.015956,0.0144,0.0,0.0,0.0,0.018114883199999997,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0036520009547298914,0.0118,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_160,road_160,road_4,road_18,road,Trunk,0.0773,100.0,0.000773,0.0139,0.0,0.0,0.0,0.01738037235,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,0.010951229214734666,0.0355,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_22789,road_22789,road_4,road_270,road,Trunk,0.0915,100.0,0.000915,0.0139,0.0,0.0,0.0,0.01738135925,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,1.4320948365025062e-06,0.0,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_22787,road_22787,road_4,road_363,road,Trunk,0.1146,100.0,0.001146,0.0139,0.0,0.0,0.0,0.017382964700000003,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,0.007066115044951866,0.0229,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_11033,road_11033,road_4,road_10658,road,Primary,0.1373,80.0,0.001716,0.014,0.0,0.0,0.0,0.015408457680000003,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_11048,road_11048,road_4,road_10671,road,Primary,0.1175,80.0,0.001469,0.014,0.0,0.0,0.0,0.015407238,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_255,road_255,road_5,road_364,road,Trunk,0.1658,100.0,0.001658,0.0149,0.0,0.0,0.0,0.018637352099999997,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0035727583737767527,0.0116,0.0,LOW,20260427_163314,2026-04-27 16:33:25
road_155,road_155,road_6,road_245,road,Trunk,0.1405,100.0,0.001405,0.0101,0.0,0.0,0.0,0.012632095249999998,0.0,0.0,0.0,0.7,0.4,0.45,0.6,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.011960378709523432,0.0387,0.0,LOW,20260427_163314,2026-04-27 16:33:25
