edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
road_15597,road_15597,road_13558,road_13560,road,Motorway,1.1409,120.0,0.009508,5,0.0003182432970005569,nan
road_22240,road_22240,road_13558,road_16899,road,Motorway,0.0491,120.0,0.000409,5,7.956082425013923e-05,nan
road_22241,road_22241,road_13558,road_16900,road,Motorway,0.0462,120.0,0.000385,5,7.956082425013923e-05,nan
road_25170,road_25170,road_13560,road_13561,road,Motorway,0.1022,120.0,0.000852,5,0.0011934123637520886,nan
road_16227,road_16227,road_13560,road_13913,road,Motorway,2.9486,120.0,0.024572,5,0.0007956082425013924,لاہور-سیالکوٹ موٹروے
road_16974,road_16974,road_13561,road_13918,road,Motorway,3.087,120.0,0.025725,5,0.0015116556607526455,لاہور-سیالکوٹ موٹروے
road_25169,road_25169,road_13561,road_13562,road,Motorway,0.8996,120.0,0.007497,5,0.0002386824727504177,nan
road_15599,road_15599,road_13562,road_13563,road,Motorway,1.0115,120.0,0.008429,5,7.956082425013923e-05,nan
road_24149,road_24149,road_13562,road_17941,road,Motorway,0.0409,120.0,0.000341,5,7.956082425013923e-05,nan
road_17463,road_17463,road_13571,road_13572,road,Trunk,0.5363,100.0,0.005363,5,0.0002654149096984645,قومی شاہراہ 55
road_15620,road_15620,road_13572,road_13573,road,Trunk,5.3794,100.0,0.053794,5,0.013604423581828309,قومی شاہراہ 55
road_15622,road_15622,road_13576,road_13577,road,Trunk,0.0913,100.0,0.000913,5,0.00011934123637520886,قومی شاہراہ
road_15625,road_15625,road_13577,road_13578,road,Trunk,0.0713,100.0,0.000713,5,0.2746826318720662,قومی شاہراہ
road_21186,road_21186,road_13577,road_13587,road,Trunk,5.7977,100.0,0.057977,5,3.9780412125069614e-05,قومی شاہراہ
road_22516,road_22516,road_13580,road_13581,road,Primary,4.5515,80.0,0.056894,4,0.0049754157053067075,Jalalpur–Gujrat Road
road_22513,road_22513,road_13580,road_15127,road,Primary,0.7932,80.0,0.009915,4,0.005051794096586841,Jalalpur–Gujrat Road
road_22515,road_22515,road_13581,road_13582,road,Primary,0.0431,80.0,0.000539,4,0.004899037314026573,Jalalpur–Gujrat Road
road_15635,road_15635,road_13583,road_13584,road,Motorway,4.318,120.0,0.035983,5,0.016238364229453416,مُلتان- سكھر موٹروے
road_26242,road_26242,road_13584,road_18984,road,Motorway,0.0657,120.0,0.000547,5,0.016316333837218554,مُلتان- سكھر موٹروے
road_15640,road_15640,road_13585,road_13586,road,Primary,0.1257,80.0,0.001571,4,0.0036411806826318724,nan
road_15645,road_15645,road_13587,road_13588,road,Trunk,18.5352,100.0,0.185352,5,7.956082425013923e-05,قومی شاہراہ
road_15647,road_15647,road_13589,road_13590,road,Trunk,0.6642,100.0,0.006642,5,7.956082425013923e-05,قومی شاہراہ 55
road_15671,road_15671,road_13589,road_13602,road,Trunk,7.0896,100.0,0.070896,5,0.00012888853528522556,قومی شاہراہ 55
